mean_test_score,max_depth,min_samples_split,n_estimators
0.8309724170172978,12,6,214
0.8309724170172978,12,6,215
0.8331229546517065,12,6,216
0.8309490416082281,12,6,217
0.8287985039738196,12,6,218
0.8309490416082281,12,6,220
0.833216456287985,12,7,180
0.8310659186535764,12,7,181
0.8310659186535764,12,7,182
0.8310659186535764,12,7,183
0.8353903693314633,12,7,184
0.8332398316970547,12,7,185
0.8332398316970547,12,7,186
0.8332398316970547,12,7,187
0.8353903693314633,12,7,188
0.8353903693314633,12,7,189
0.8353669939223938,12,7,190
0.8375409069658719,12,7,191
0.8353903693314633,12,7,192
0.8353903693314633,12,7,193
0.8353903693314633,12,7,194
0.8353903693314633,12,7,195
0.8353903693314633,12,7,196
0.8353903693314633,12,7,197
0.8375642823749416,12,7,198
0.8353903693314633,12,7,199
0.8353903693314633,12,7,200
0.8332398316970547,12,7,201
0.8332398316970547,12,7,202
0.8332398316970547,12,7,203
0.8310659186535764,12,7,204
0.8332398316970547,12,7,205
0.8310659186535764,12,7,206
0.8310659186535764,12,7,207
0.8332398316970547,12,7,208
0.8310659186535764,12,7,209
0.8310659186535764,12,7,210
0.833216456287985,12,7,211
0.833216456287985,12,7,212
0.8288686302010285,12,7,213
0.833216456287985,12,7,214
0.8288920056100982,12,7,215
0.8310659186535764,12,7,216
0.8310425432445069,12,7,217
0.8310425432445069,12,7,218
0.8310425432445069,12,7,220
0.8310425432445069,12,8,180
0.8310425432445069,12,8,181
0.8310425432445069,12,8,182
0.8310425432445069,12,8,183
0.8310425432445069,12,8,184
0.8288686302010284,12,8,185
0.8288686302010284,12,8,186
0.8288686302010284,12,8,187
0.8310425432445069,12,8,188
0.833216456287985,12,8,189
0.833216456287985,12,8,190
0.8353903693314633,12,8,191
0.833216456287985,12,8,192
0.8353903693314633,12,8,193
0.8353903693314633,12,8,194
0.833216456287985,12,8,195
0.833216456287985,12,8,196
0.833216456287985,12,8,197
0.833216456287985,12,8,198
0.8310425432445069,12,8,199
0.8310425432445069,12,8,200
0.8310425432445069,12,8,201
0.8310425432445069,12,8,202
0.833216456287985,12,8,203
0.8310425432445069,12,8,204
0.833216456287985,12,8,205
0.8310425432445069,12,8,206
0.8310425432445069,12,8,207
0.8288686302010285,12,8,208
0.8310425432445069,12,8,209
